Year,Month,CPIH,Core,CPIH-Normalised,Core-Normalised,CPIH-LogNormed,Core-LogNormed,CPIH-Diff,Core-Diff
2014,3,1.5,1.5,-0.3068788852582782,-0.5215999896202487,,,,
2014,4,1.7,1.8,-0.19627236124292713,-0.2292747207121971,,,0.1106065240153511,0.29232526890805155
2014,5,1.5,1.5,-0.3068788852582782,-0.5215999896202487,,,-0.1106065240153511,-0.29232526890805155
2014,6,1.8,1.9,-0.14096909923525153,-0.1318329644095134,,,0.1659097860230267,0.38976702521073525
2014,7,1.6,1.7,-0.2515756232506026,-0.32671647701488105,,,-0.1106065240153511,-0.19488351260536765
2014,8,1.5,1.8,-0.3068788852582782,-0.2292747207121971,,,-0.0553032620076756,0.09744175630268395
2014,9,1.3,1.5,-0.4174854092736293,-0.5215999896202487,,,-0.1106065240153511,-0.29232526890805155
2014,10,1.3,1.5,-0.4174854092736293,-0.5215999896202487,,,0.0,0.0
2014,11,1.1,1.3,-0.5280919332889804,-0.7164835022256163,,,-0.1106065240153511,-0.19488351260536763
2014,12,0.7,1.4,-0.7493049813196827,-0.6190417459229326,,,-0.2212130480307023,0.0974417563026837
2015,1,0.5,1.5,-0.8599115053350338,-0.5215999896202487,,,-0.1106065240153511,0.09744175630268392
2015,2,0.4,1.4,-0.9152147673427093,-0.6190417459229326,,,-0.05530326200767555,-0.09744175630268392
2015,3,0.3,1.2,-0.9705180293503849,-0.8139252585283002,,,-0.05530326200767555,-0.19488351260536763
2015,4,0.3,1.1,-0.9705180293503849,-0.9113670148309839,,,0.0,-0.0974417563026837
2015,5,0.4,1.2,-0.9152147673427093,-0.8139252585283002,,,0.05530326200767555,0.0974417563026837
2015,6,0.3,1.0,-0.9705180293503849,-1.008808771133668,,,-0.05530326200767555,-0.19488351260536774
2015,7,0.5,1.3,-0.8599115053350338,-0.7164835022256163,,,0.1106065240153511,0.29232526890805166
2015,8,0.4,1.2,-0.9152147673427093,-0.8139252585283002,,,-0.05530326200767555,-0.09744175630268392
2015,9,0.2,1.2,-1.0258212913580604,-0.8139252585283002,,,-0.1106065240153511,0.0
2015,10,0.2,1.3,-1.0258212913580604,-0.7164835022256163,,,0.0,0.09744175630268392
2015,11,0.4,1.4,-0.9152147673427093,-0.6190417459229326,,,0.1106065240153511,0.0974417563026837
2015,12,0.5,1.5,-0.8599115053350338,-0.5215999896202487,,,0.05530326200767555,0.09744175630268392
2016,1,0.6,1.4,-0.8046082433273581,-0.6190417459229326,,,0.05530326200767566,-0.09744175630268392
2016,2,0.6,1.4,-0.8046082433273581,-0.6190417459229326,,,0.0,0.0
2016,3,0.8,1.6,-0.694001719312007,-0.42415823331756475,,,0.1106065240153511,0.19488351260536785
2016,4,0.7,1.5,-0.7493049813196827,-0.5215999896202487,,,-0.05530326200767566,-0.09744175630268392
2016,5,0.7,1.5,-0.7493049813196827,-0.5215999896202487,,,0.0,0.0
2016,6,0.8,1.6,-0.694001719312007,-0.42415823331756475,,,0.05530326200767566,0.09744175630268392
2016,7,0.9,1.6,-0.6386984573043316,-0.42415823331756475,,,0.055303262007675436,0.0
2016,8,1.0,1.5,-0.583395195296656,-0.5215999896202487,,,0.05530326200767566,-0.09744175630268392
2016,9,1.3,1.7,-0.4174854092736293,-0.32671647701488105,,,0.16590978602302664,0.19488351260536763
2016,10,1.3,1.6,-0.4174854092736293,-0.42415823331756475,,,0.0,-0.0974417563026837
2016,11,1.5,1.7,-0.3068788852582782,-0.32671647701488105,,,0.1106065240153511,0.0974417563026837
2016,12,1.8,1.8,-0.14096909923525153,-0.2292747207121971,,,0.1659097860230267,0.09744175630268395
2017,1,1.9,1.8,-0.08566583722757605,-0.2292747207121971,,,0.05530326200767548,0.0
2017,2,2.3,2.1,0.13554721080312612,0.06305054819585446,-1.9984352801349967,-2.763818521988,0.2212130480307022,0.29232526890805155
2017,3,2.3,1.9,0.13554721080312612,-0.1318329644095134,-1.9984352801349967,,0.0,-0.19488351260536785
2017,4,2.6,2.4,0.30145699682615296,0.3553758171039058,-1.1991279037466593,-1.0345794097412822,0.16590978602302683,0.4872087815134192
2017,5,2.7,2.5,0.35676025883382856,0.45281757340658974,-1.0306912666719243,-0.7922659423193521,0.0553032620076756,0.09744175630268392
2017,6,2.6,2.4,0.30145699682615296,0.3553758171039058,-1.1991279037466593,-1.0345794097412822,-0.0553032620076756,-0.09744175630268392
2017,7,2.6,2.4,0.30145699682615296,0.3553758171039058,-1.1991279037466593,-1.0345794097412822,0.0,0.0
2017,8,2.7,2.6,0.35676025883382856,0.5502593297092737,-1.0306912666719243,-0.5973656033185372,0.0553032620076756,0.1948835126053679
2017,9,2.8,2.5,0.4120635208415039,0.45281757340658974,-0.8865777647168652,-0.7922659423193521,0.055303262007675325,-0.09744175630268398
2017,10,2.8,2.5,0.4120635208415039,0.45281757340658974,-0.8865777647168652,-0.7922659423193521,0.0,0.0
2017,11,2.8,2.5,0.4120635208415039,0.45281757340658974,-0.8865777647168652,-0.7922659423193521,0.0,0.0
2017,12,2.7,2.3,0.35676025883382856,0.2579340608012219,-1.0306912666719243,-1.3550513050160542,-0.055303262007675325,-0.19488351260536785
2018,1,2.7,2.4,0.35676025883382856,0.3553758171039058,-1.0306912666719243,-1.0345794097412822,0.0,0.09744175630268392
2018,2,2.5,2.2,0.24615373481847733,0.16049230449853838,-1.401798999955894,-1.8295092846111682,-0.11060652401535123,-0.19488351260536743
2018,3,2.3,2.1,0.13554721080312612,0.06305054819585446,-1.9984352801349967,-2.763818521988,-0.1106065240153512,-0.09744175630268392
2018,4,2.2,2.0,0.08024394879545077,-0.03439120810682947,-2.5226839242331267,,-0.05530326200767535,-0.09744175630268392
2018,5,2.3,2.0,0.13554721080312612,-0.03439120810682947,-1.9984352801349967,,0.05530326200767535,0.0
2018,6,2.3,1.8,0.13554721080312612,-0.2292747207121971,-1.9984352801349967,,0.0,-0.19488351260536763
2018,7,2.3,1.8,0.13554721080312612,-0.2292747207121971,-1.9984352801349967,,0.0,0.0
2018,8,2.4,1.9,0.19085047281080172,-0.1318329644095134,-1.6562650223991453,,0.0553032620076756,0.0974417563026837
2018,9,2.2,1.8,0.08024394879545077,-0.2292747207121971,-2.5226839242331267,,-0.11060652401535095,-0.0974417563026837
2018,10,2.2,1.8,0.08024394879545077,-0.2292747207121971,-2.5226839242331267,,0.0,0.0
2018,11,2.2,1.8,0.08024394879545077,-0.2292747207121971,-2.5226839242331267,,0.0,0.0
2018,12,2.0,1.8,-0.03036257521990044,-0.2292747207121971,,,-0.1106065240153512,0.0
2019,1,1.8,1.8,-0.14096909923525153,-0.2292747207121971,,,-0.1106065240153511,0.0
2019,2,1.8,1.8,-0.14096909923525153,-0.2292747207121971,,,0.0,0.0
2019,3,1.8,1.8,-0.14096909923525153,-0.2292747207121971,,,0.0,0.0
2019,4,2.0,1.7,-0.03036257521990044,-0.32671647701488105,,,0.1106065240153511,-0.09744175630268395
