Year,Month,Productivity,Quarter,Full-Time,Part-Time,All,CPIH,Core
2015,1,96.3,1,2281.91,718.78,1840.25,0.5,1.5
2015,2,96.3,1,2286.24,722.7491666666666,1844.9408333333333,0.4,1.4
2015,3,96.3,1,2290.5699999999997,726.7183333333332,1849.6316666666667,0.3,1.2
2015,4,97.0,2,2294.8999999999996,730.6875,1854.3225,0.3,1.1
2015,5,97.0,2,2299.23,734.6566666666666,1859.0133333333333,0.4,1.2
2015,6,97.0,2,2303.56,738.6258333333333,1863.7041666666667,0.3,1.0
2015,7,97.2,3,2307.89,742.595,1868.395,0.5,1.3
2015,8,97.2,3,2312.22,746.5641666666667,1873.0858333333333,0.4,1.2
2015,9,97.2,3,2316.5499999999997,750.5333333333333,1877.7766666666666,0.2,1.2
2015,10,96.1,4,2320.88,754.5024999999999,1882.4675,0.2,1.3
2015,11,96.1,4,2325.21,758.4716666666666,1887.1583333333333,0.4,1.4
2015,12,96.1,4,2329.54,762.4408333333333,1891.8491666666666,0.5,1.5
2016,1,96.9,1,2333.87,766.41,1896.54,0.6,1.4
2016,2,96.9,1,2337.8391666666666,768.2141666666666,1900.5091666666667,0.6,1.4
2016,3,96.9,1,2341.8083333333334,770.0183333333333,1904.4783333333332,0.8,1.6
2016,4,97.4,2,2345.7775,771.8225,1908.4475,0.7,1.5
2016,5,97.4,2,2349.7466666666664,773.6266666666667,1912.4166666666667,0.7,1.5
2016,6,97.4,2,2353.715833333333,775.4308333333333,1916.3858333333333,0.8,1.6
2016,7,97.8,3,2357.685,777.235,1920.355,0.9,1.6
2016,8,97.8,3,2361.6541666666667,779.0391666666667,1924.3241666666668,1.0,1.5
2016,9,97.8,3,2365.6233333333334,780.8433333333334,1928.2933333333333,1.3,1.7
2016,10,98.0,4,2369.5924999999997,782.6475,1932.2625,1.3,1.6
2016,11,98.0,4,2373.5616666666665,784.4516666666667,1936.2316666666668,1.5,1.7
2016,12,98.0,4,2377.5308333333332,786.2558333333334,1940.2008333333333,1.8,1.8
2017,1,98.0,1,2381.5,788.0600000000001,1944.17,1.9,1.8
2017,2,98.0,1,2387.995,789.8641666666667,1948.1391666666668,2.3,2.1
2017,3,98.0,1,2394.49,791.6683333333334,1952.1083333333333,2.3,1.9
2017,4,98.1,2,2400.985,793.4725000000001,1956.0775,2.6,2.4
2017,5,98.1,2,2407.48,795.2766666666668,1960.0466666666666,2.7,2.5
2017,6,98.1,2,2413.975,797.0808333333334,1964.0158333333334,2.6,2.4
2017,7,99.7,3,2420.4700000000003,798.885,1967.9850000000001,2.6,2.4
2017,8,99.7,3,2426.965,800.6891666666667,1971.9541666666667,2.7,2.6
2017,9,99.7,3,2433.46,802.4933333333333,1975.9233333333334,2.8,2.5
2017,10,100.0,4,2439.955,804.2975,1979.8925,2.8,2.5
2017,11,100.0,4,2446.45,806.1016666666667,1983.8616666666667,2.8,2.5
2017,12,100.0,4,2452.945,807.9058333333334,1987.8308333333332,2.7,2.3
2018,1,99.5,1,2459.44,809.71,1991.8,2.7,2.4
2018,2,99.5,1,2465.5741666666668,813.3183333333334,1998.6558333333332,2.5,2.2
2018,3,99.5,1,2471.7083333333335,816.9266666666667,2005.5116666666668,2.3,2.1
2018,4,99.8,2,2477.8425,820.5350000000001,2012.3675,2.2,2.0
2018,5,99.8,2,2483.976666666667,824.1433333333333,2019.2233333333334,2.3,2.0
2018,6,99.8,2,2490.1108333333336,827.7516666666667,2026.0791666666667,2.3,1.8
2018,7,99.5,3,2496.245,831.36,2032.935,2.3,1.8
2018,8,99.5,3,2502.3791666666666,834.9683333333334,2039.7908333333335,2.4,1.9
2018,9,99.5,3,2508.5133333333333,838.5766666666667,2046.6466666666668,2.2,1.8
2018,10,99.9,4,2514.6475,842.185,2053.5025,2.2,1.8
2018,11,99.9,4,2520.7816666666668,845.7933333333333,2060.3583333333336,2.2,1.8
2018,12,99.9,4,2526.9158333333335,849.4016666666666,2067.2141666666666,2.0,1.8
2019,1,99.5,1,2533.05,853.01,2074.07,1.8,1.8
2019,2,99.5,1,2533.4108333333334,854.8141666666667,2074.07,1.8,1.8
2019,3,99.5,1,2533.771666666667,856.6183333333333,2074.07,1.8,1.8
2019,4,99.6,2,2534.1325,858.4225,2074.07,2.0,1.7
2019,5,99.6,2,2534.4933333333333,860.2266666666667,2074.07,1.9,1.7
2019,6,99.6,2,2534.854166666667,862.0308333333334,2074.07,1.9,1.7
2019,7,100.4,3,2535.215,863.835,2074.07,2.0,1.9
2019,8,100.4,3,2535.5758333333333,865.6391666666666,2074.07,1.7,1.5
2019,9,100.4,3,2535.936666666667,867.4433333333333,2074.07,1.7,1.6
2019,10,100.6,4,2536.2975,869.2475,2074.07,1.5,1.7
2019,11,100.6,4,2536.6583333333333,871.0516666666666,2074.07,1.5,1.7
2019,12,100.6,4,2537.019166666667,872.8558333333333,2074.07,1.4,1.4
2020,1,99.8,1,2537.38,874.66,2074.07,1.8,1.6
2020,2,99.8,1,2546.04,879.3508333333333,2083.451666666667,1.7,1.7
2020,3,99.8,1,2554.7000000000003,884.0416666666666,2092.8333333333335,1.5,1.6
2020,4,96.1,2,2563.36,888.7325,2102.215,0.9,1.5
2020,5,96.1,2,2572.02,893.4233333333333,2111.596666666667,0.7,1.3
2020,6,96.1,2,2580.6800000000003,898.1141666666666,2120.9783333333335,0.8,1.5
2020,7,103.9,3,2589.34,902.8050000000001,2130.36,1.1,1.8
2020,8,103.9,3,2598.0,907.4958333333334,2139.741666666667,0.5,1.0
2020,9,103.9,3,2606.6600000000003,912.1866666666667,2149.1233333333334,0.7,1.4
2020,10,99.7,4,2615.32,916.8775,2158.505,0.9,1.5
2020,11,99.7,4,2623.98,921.5683333333334,2167.8866666666668,0.6,1.2
2020,12,99.7,4,2632.6400000000003,926.2591666666667,2177.2683333333334,0.8,1.5
2021,1,100.3,1,2641.3,930.95,2186.65,0.9,1.5
2021,2,100.3,1,2652.125,935.6408333333334,2196.7533333333336,0.7,1.1
2021,3,100.3,1,2662.9500000000003,940.3316666666667,2206.8566666666666,1.0,1.3
2021,4,101.5,2,2673.775,945.0225,2216.96,1.6,1.5
2021,5,101.5,2,2684.6,949.7133333333334,2227.0633333333335,2.1,2.0
2021,6,101.5,2,2695.425,954.4041666666667,2237.1666666666665,2.4,2.3
