"Figure 1: Median weekly pay for full-time employees was £640 in April 2022",""
"Gross median weekly earnings by employment type, UK, April 2012 to April 2022",""
"",""
"Notes","1. Estimates for 2022 data are provisional. 
2. Employees are on adult rates, and pay is unaffected by absence unless furloughed. 
3. Full-time is defined as employees working more than 30 paid hours per week (or 25 or more for the teaching professions). 
4. The plotline represents a discontinuity in 2021 because of a change in occupational coding. "
"Unit","£"
"",""
"","Full-time","Part-time","All"
"2012","506","155","406"
"2013","517","160","415"
"2014","518","161","418"
"2015","527","166","425"
"2016","539","177","438"
"2017","550","182","449"
"2018","568","187","460"
"2019","585","197","479"
"2020","586","202","479"
"2021","610","215","505"
"2022","640","228","533"
