,month,year,Market Cap,Revenue,Earnings,PE,Absolute PE,PS,date
0,7,2013,7500000000.0,3600000000.0,279000000.0,26.4,26.9,2.1,2013-07-01
1,8,2013,8216451042.2,3624305060.9,303128569.9,30.3,27.0,2.3,2013-08-01
2,9,2013,8683117708.8,3657638394.3,319528569.9,32.7,27.1,2.4,2013-09-01
3,10,2013,8900000000.0,3700000000.0,328200000.0,33.6,27.2,2.4,2013-10-01
4,11,2013,8867097915.7,3751389878.1,329142860.2,32.9,26.9,2.4,2013-11-01
5,12,2013,8584411455.8,3811808028.6,322357150.6,30.8,26.6,2.3,2013-12-01
6,1,2014,8259519268.0,3866322164.8,315042865.7,28.2,26.2,2.2,2014-01-01
7,2,2014,8100000000.0,3900000000.0,314400000.0,26.3,25.9,2.1,2014-02-01
8,3,2014,8105853651.7,3912841534.2,320428553.6,25.2,25.4,2.1,2014-03-01
9,4,2014,8242226921.5,3907511689.7,331828535.4,24.6,24.8,2.1,2014-04-01
10,5,2014,8300000000.0,3900000000.0,340800000.0,24.1,24.3,2.1,2014-05-01
11,6,2014,8244319585.7,3892971387.4,346042956.3,23.5,24.0,2.1,2014-06-01
12,7,2014,8075185678.6,3886425851.8,347557404.3,22.7,23.7,2.0,2014-07-01
13,8,2014,7943458932.2,3886667390.4,347068150.2,22.4,23.4,2.0,2014-08-01
14,9,2014,8000000000.0,3900000000.0,346300000.0,23.1,23.1,2.0,2014-09-01
15,10,2014,8244808882.1,3926423680.7,345252953.7,24.8,24.1,2.1,2014-10-01
16,11,2014,8644637790.7,3963877959.7,344580103.3,27.1,25.0,2.2,2014-11-01
17,12,2014,9000000000.0,4000000000.0,348200000.0,27.9,26.0,2.3,2014-12-01
18,1,2015,9277647722.3,4032729328.7,356765735.7,26.8,25.6,2.3,2015-01-01
19,2,2015,9477580957.7,4062065945.8,370277310.3,23.8,25.2,2.3,2015-02-01
20,3,2015,9588723714.2,4085369590.0,383675229.8,20.6,24.9,2.3,2015-03-01
21,4,2015,9600000000.0,4100000000.0,391900000.0,18.9,24.5,2.3,2015-04-01
22,5,2015,9511409815.1,4105957175.7,394951620.8,18.8,24.0,2.3,2015-05-01
23,6,2015,9330216489.2,4104146470.0,393703935.1,19.9,23.6,2.2,2015-06-01
24,7,2015,9100000000.0,4100000000.0,393400000.0,20.8,23.1,2.2,2015-07-01
25,8,2015,8828023677.1,4094423118.6,394913658.3,21.1,22.4,2.2,2015-08-01
26,9,2015,8514287520.4,4087415825.9,398244910.0,20.9,21.6,2.1,2015-09-01
27,10,2015,8243407603.6,4086700620.2,401278706.7,20.6,20.9,2.0,2015-10-01
28,11,2015,8100000000.0,4100000000.0,401900000.0,20.5,20.2,2.0,2015-11-01
29,12,2015,8084064709.7,4127313965.4,400108789.9,20.7,20.3,2.0,2015-12-01
30,1,2016,8158422725.0,4165977443.8,396317425.4,21.0,20.4,1.9,2016-01-01
31,2,2016,8100000000.0,4200000000.0,393000000.0,21.6,20.5,1.9,2016-02-01
32,3,2016,7871617527.0,4226716561.5,390568862.6,22.3,20.0,1.8,2016-03-01
33,4,2016,7473275306.0,4246127128.3,389024013.3,23.2,19.4,1.7,2016-04-01
34,5,2016,7113295432.0,4267474131.0,386542157.4,23.9,18.8,1.6,2016-05-01
35,6,2016,7000000000.0,4300000000.0,381300000.0,24.2,18.3,1.6,2016-06-01
36,7,2016,7133389010.0,4343704735.4,373297541.2,24.1,19.7,1.6,2016-07-01
37,8,2016,7513462462.0,4398588337.3,362534781.1,23.6,21.2,1.7,2016-08-01
38,9,2016,7986804683.0,4454177770.5,353304630.4,23.3,22.6,1.8,2016-09-01
39,10,2016,8400000000.0,4500000000.0,349900000.0,23.8,24.0,1.9,2016-10-01
40,11,2016,8753048413.1,4536055025.8,352320889.9,25.1,24.5,2.0,2016-11-01
41,12,2016,9048316085.8,4564691351.7,359662941.1,26.9,25.0,2.0,2016-12-01
42,1,2017,9300000000.0,4600000000.0,366500000.0,28.0,25.5,2.0,2017-01-01
43,2,2017,9510466319.2,4644329474.4,371927707.6,28.1,25.6,2.0,2017-02-01
44,3,2017,9679715043.5,4697679774.9,375946063.8,27.3,25.8,2.0,2017-03-01
45,4,2017,9834106246.0,4752190188.0,379866388.1,26.2,26.0,2.1,2017-04-01
46,5,2017,10000000000.0,4800000000.0,385000000.0,25.4,26.1,2.1,2017-05-01
47,6,2017,10177396305.4,4841109211.0,391346899.4,25.0,26.0,2.1,2017-06-01
48,7,2017,10358884432.2,4875159395.5,398664801.8,24.9,25.9,2.2,2017-07-01
49,8,2017,10500000000.0,4900000000.0,405500000.0,24.7,25.8,2.2,2017-08-01
50,9,2017,10593332278.9,4915272599.0,411610209.4,24.4,25.5,2.2,2017-09-01
51,10,2017,10638881268.8,4920977192.4,416995430.0,24.0,25.2,2.2,2017-10-01
52,11,2017,10589989624.3,4916193189.6,420782935.6,23.7,24.9,2.1,2017-11-01
53,12,2017,10400000000.0,4900000000.0,422100000.0,23.5,24.6,2.1,2017-12-01
54,1,2018,10068912395.8,4872397623.5,420946623.2,23.5,24.1,2.0,2018-01-01
55,2,2018,9665233117.6,4835278803.5,417797411.3,23.8,23.7,2.0,2018-02-01
56,3,2018,9600000000.0,4800000000.0,415500000.0,24.1,23.2,2.0,2018-03-01
57,4,2018,9941719348.8,4768453956.3,414528995.4,24.5,24.4,2.1,2018-04-01
58,5,2018,10690391163.9,4740640672.5,414884397.5,25.1,25.6,2.3,2018-05-01
