year,month,GDP,Temperature,Unemployment Rate,Normalised GDP,Normalised Temperature,Normalised Unemployment Rate,
2014,mar,505572,6.7,6.6,-1.013688866,-0.649923329,2.782701604,
2014,apr,509636,9.2,6.4,-0.948245626,-0.061146377,2.511400643,
2014,may,511939,11.2,6.3,-0.911160049,0.409875184,2.375750162,
2014,jun,513464,14.2,6.1,-0.886602731,1.116407526,2.104449201,
2014,jul,517253,16.3,6,-0.82558786,1.610980166,1.96879872,
2014,aug,520279,13.9,6,-0.776859699,1.045754292,1.96879872,
2014,sep,523512,13.9,6,-0.724798185,1.045754292,1.96879872,
2014,oct,527683,11,5.9,-0.657631907,0.362773028,1.833148239,
2014,nov,528683,7.6,5.7,-0.641528747,-0.437963626,1.561847278,
2014,dec,539679,4.4,5.7,-0.464458406,-1.191598124,1.561847278,
2015,jan,557081,3.7,5.6,-0.184231225,-1.356455671,1.426196797,
2015,feb,531163,3.5,5.5,-0.601592912,-1.403557827,1.290546317,
2015,mar,505572,5.5,5.5,-1.013688866,-0.932536265,1.290546317,
2015,apr,509636,7.9,5.6,-0.948245626,-0.367310392,1.426196797,
2015,may,524797,9.5,5.6,-0.704105625,0.009506857,1.426196797,
2015,jun,528565,12.7,5.5,-0.64342892,0.763141355,1.290546317,
2015,jul,536255,14.4,5.4,-0.519595624,1.163509682,1.154895836,
2015,aug,547663,14.7,5.3,-0.33589078,1.234162917,1.019245355,
2015,sep,557012,11.9,5.2,-0.185342343,0.574732731,0.883594874,
2015,oct,561410,10,5.1,-0.114520647,0.127262248,0.747944394,
2015,nov,553927,8.1,5.1,-0.235020589,-0.320208236,0.747944394,
2015,dec,489154,7.9,5.1,-1.278070538,-0.367310392,0.747944394,
2016,jan,489154,4.5,5.1,-1.278070538,-1.168047046,0.747944394,
2016,feb,467652,3.8,5.1,-1.624320673,-1.332904593,0.747944394,
2016,mar,506565,5.3,5,-0.997698428,-0.979638422,0.612293913,
2016,apr,506938,6.5,4.9,-0.99169195,-0.697025485,0.476643432,
2016,may,520715,11.3,4.9,-0.769838722,0.433426262,0.476643432,
2016,jun,541831,13.9,4.9,-0.429804406,1.045754292,0.476643432,
2016,jul,550654,15.3,5,-0.28772623,1.375469385,0.612293913,
2016,aug,556173,15.5,4.8,-0.198852893,1.422571541,0.340992952,
2016,sep,557167,14.6,4.8,-0.182846353,1.210611839,0.340992952,
2016,oct,557548,9.8,4.8,-0.176711049,0.080160091,0.340992952,
2016,nov,556066,4.9,4.7,-0.200575931,-1.073842734,0.205342471,
2016,dec,559089,5.9,4.7,-0.15189608,-0.838331953,0.205342471,
2017,jan,562051,3.8,4.6,-0.104198522,-1.332904593,0.06969199,
2017,feb,566501,5.2,4.6,-0.032539462,-1.0031895,0.06969199,
2017,mar,573554,7.3,4.5,0.081036121,-0.50861686,-0.065958491,
2017,apr,580607,8,4.4,0.194611705,-0.343759314,-0.201608971,
2017,may,583662,12.1,4.4,0.243806857,0.621834887,-0.201608971,
2017,jun,584018,14.4,4.3,0.249539582,1.163509682,-0.337259452,
2017,jul,589555,15.1,4.3,0.338702776,1.328367229,-0.337259452,
2017,aug,592795,14.5,4.3,0.390877013,1.187060761,-0.337259452,
2017,sep,596035,12.5,4.2,0.44305125,0.716039199,-0.472909933,
2017,oct,601346,11.2,4.3,0.52857513,0.409875184,-0.337259452,
2017,nov,604427,5.7,4.4,0.578188964,-0.885434109,-0.201608971,
2017,dec,609080,4.1,4.3,0.653116965,-1.262251358,-0.337259452,
2018,jan,612161,4,4.2,0.702730799,-1.285802436,-0.472909933,
2018,feb,615243,2.3,4.2,0.752360737,-1.686170764,-0.472909933,
