year,month,GDP,Temperature,Unemployment Rate
2014,mar,505572,6.7,6.6
2014,apr,509636,9.2,6.4
2014,may,511939,11.2,6.3
2014,jun,513464,14.2,6.1
2014,jul,517253,16.3,6
2014,aug,520279,13.9,6
2014,sep,523512,13.9,6
2014,oct,527683,11,5.9
2014,nov,528683,7.6,5.7
2014,dec,539679,4.4,5.7
2015,jan,557081,3.7,5.6
2015,feb,531163,3.5,5.5
2015,mar,505572,5.5,5.5
2015,apr,509636,7.9,5.6
2015,may,524797,9.5,5.6
2015,jun,528565,12.7,5.5
2015,jul,536255,14.4,5.4
2015,aug,547663,14.7,5.3
2015,sep,557012,11.9,5.2
2015,oct,561410,10,5.1
2015,nov,553927,8.1,5.1
2015,dec,489154,7.9,5.1
2016,jan,489154,4.5,5.1
2016,feb,467652,3.8,5.1
2016,mar,506565,5.3,5
2016,apr,506938,6.5,4.9
2016,may,520715,11.3,4.9
2016,jun,541831,13.9,4.9
2016,jul,550654,15.3,5
2016,aug,556173,15.5,4.8
2016,sep,557167,14.6,4.8
2016,oct,557548,9.8,4.8
2016,nov,556066,4.9,4.7
2016,dec,559089,5.9,4.7
2017,jan,562051,3.8,4.6
2017,feb,566501,5.2,4.6
2017,mar,573554,7.3,4.5
2017,apr,580607,8,4.4
2017,may,583662,12.1,4.4
2017,jun,584018,14.4,4.3
2017,jul,589555,15.1,4.3
2017,aug,592795,14.5,4.3
2017,sep,596035,12.5,4.2
2017,oct,601346,11.2,4.3
2017,nov,604427,5.7,4.4
2017,dec,609080,4.1,4.3
2018,jan,612161,4,4.2
2018,feb,615243,2.3,4.2
2018,mar,618325,3.8,4.2
2018,apr,619646,8.4,4.2
2018,may,626317,12,4
2018,jun,631183,14.8,4
2018,jul,634309,17.2,4
2018,aug,638965,15.2,4.1
2018,sep,642626,12.4,4.1
2018,oct,647461,9.5,4
2018,nov,650345,7.3,4
2018,dec,653228,5.8,3.9
2019,jan,656112,3.4,3.9
2019,feb,656941,6,3.8
2019,mar,663315,6.8,3.8
2019,apr,663784,8.4,3.8
2019,may,667209,10,3.9
2019,jun,667496,13.2,3.8
2019,jul,672657,16.4,3.9
2019,aug,674824,15.8,3.8
2019,sep,680196,13.1,3.8
2019,oct,681311,8.9,3.8
2019,nov,683449,5.3,3.8
2019,dec,683818,5.1,3.9
2020,jan,680494,5.6,4
2020,feb,667654,5.1,4
2020,mar,537988,5.6,4.1
2020,apr,484465,9.1,4.1
2020,may,454332,11.3,4.1
2020,jun,444317,14,4.3
2020,jul,448426,14.3,4.6
2020,aug,454243,15.9,4.9
2020,sep,460060,12.8,5.1
2020,oct,465877,9,5.1
2020,nov,473664,7,5.2
2020,dec,481450,5.8,5.1
2021,jan,489238,2.2,5.1
2021,feb,495008,4.1,4.9
2021,mar,502215,6.4,4.9
2021,apr,509422,5.7,4.9
2021,may,525293,9.1,4.7
2021,jun,537105,14.2,4.6
2021,jul,542796,16.6,4.4
2021,aug,547526,15,4.3
2021,sep,553431,14.7,4.2
2021,oct,558749,10.9,4.1
2021,nov,563661,7,4
2021,dec,568573,5.3,4
2022,jan,573485,4.7,3.8
2022,feb,575935,5.6,3.7
2022,mar,578385,6.7,3.8
2022,apr,580835,8.1,3.8
2022,may,586091,11.8,3.8
2022,jun,589453,13.9,3.6
2022,jul,591129,16.5,3.5
2022,aug,592804,16.6,3.6
2022,sep,594479,13.4,3.7
2022,oct,597067,11.6,3.7
2022,nov,598807,8.2,3.7
2022,dec,600548,2.9,3.7
2023,jan,602288,4.4,3.8
2023,feb,603273,5.8,3.8
2023,mar,604259,5.7,3.7
