year,month,GDP,Temperature,Unemployment Rate,Normalised GDP,Normalised Temperature,Normalised Unemployment Rate,Unnamed: 8,GDP_sin,GDP_cos,Temperature_sin,Temperature_cos,Unemployment_Rate_sin,Unemployment_Rate_cos
2014,mar,505572,6.7,6.6,-1.013688866,-0.649923329,2.782701604,,0.28490966,-0.958554373,-0.784246699,-0.620449124,-2.45E-16,1
2014,apr,509636,9.2,6.4,-0.948245626,-0.061146377,2.511400643,,0.067389414,-0.99772675,-0.209198428,0.977873211,-0.574982261,0.818165875
2014,may,511939,11.2,6.3,-0.911160049,0.409875184,2.375750162,,-0.058031095,-0.998314776,0.987533498,0.157408992,-0.794918781,0.606715858
2014,jun,513464,14.2,6.1,-0.886602731,1.116407526,2.104449201,,-0.140701652,-0.990052042,-0.649072803,-0.760726295,-0.999226276,0.039330013
2014,jul,517253,16.3,6,-0.82558786,1.610980166,1.96879872,,-0.34069436,-0.940174108,-0.667293012,0.744795298,-0.96457966,-0.263791736
2014,aug,520279,13.9,6,-0.776859699,1.045754292,1.96879872,,-0.490410023,-0.87149183,-0.446493074,-0.894787089,-0.96457966,-0.263791736
2014,sep,523512,13.9,6,-0.724798185,1.045754292,1.96879872,,-0.635569285,-0.772043836,-0.446493074,-0.894787089,-0.96457966,-0.263791736
2014,oct,527683,11,5.9,-0.657631907,0.362773028,1.833148239,,-0.793201452,-0.608959322,0.949104824,0.314960368,-0.840146899,-0.542358911
2014,nov,528683,7.6,5.7,-0.641528747,-0.437963626,1.561847278,,-0.825193326,-0.5648504,-0.998124618,0.061214755,-0.37553277,-0.926809117
2014,dec,539679,4.4,5.7,-0.464458406,-1.191598124,1.561847278,,-0.999999486,-0.001014177,0.822348781,-0.568983728,-0.37553277,-0.926809117
2015,jan,557081,3.7,5.6,-0.184231225,-1.356455671,1.426196797,,-0.583857025,0.811856499,0.999313738,-0.03704124,-0.078599162,-0.9969063
2015,feb,531163,3.5,5.5,-0.601592912,-1.403557827,1.290546317,,-0.893775854,-0.448513904,0.992160371,0.124971192,0.225650704,-0.974208273
2015,mar,505572,5.5,5.5,-1.013688866,-0.932536265,1.290546317,,0.28490966,-0.958554373,0.072546213,-0.997365052,0.225650704,-0.974208273
2015,apr,509636,7.9,5.6,-0.948245626,-0.367310392,1.426196797,,0.067389414,-0.99772675,-0.953914249,0.300079333,-0.078599162,-0.9969063
2015,may,524797,9.5,5.6,-0.704105625,0.009506857,1.426196797,,-0.688031555,-0.72568077,0.032761725,0.999463191,-0.078599162,-0.9969063
2015,jun,528565,12.7,5.5,-0.64342892,0.763141355,1.290546317,,-0.821544004,-0.570145112,0.489266811,-0.872134157,0.225650704,-0.974208273
2015,jul,536255,14.4,5.4,-0.519595624,1.163509682,1.154895836,,-0.9824531,-0.186509802,-0.763498724,-0.645809336,0.508896286,-0.86082784
2015,aug,547663,14.7,5.3,-0.33589078,1.234162917,1.019245355,,-0.907256634,0.42057746,-0.896690821,-0.442657397,0.744772183,-0.667318811
2015,sep,557012,11.9,5.2,-0.185342343,0.574732731,0.883594874,,-0.586905651,0.809655332,0.917059662,-0.398750018,0.911322314,-0.411693624
2015,oct,561410,10,5.1,-0.114520647,0.127262248,0.747944394,,-0.377929024,0.925834571,0.424707588,0.905330583,0.993043664,-0.117746686
2015,nov,553927,8.1,5.1,-0.235020589,-0.320208236,0.747944394,,-0.714109923,0.700033584,-0.892866951,0.45032056,0.993043664,-0.117746686
2015,dec,489154,7.9,5.1,-1.278070538,-0.367310392,0.747944394,,0.925981599,-0.377568641,-0.953914249,0.300079333,0.993043664,-0.117746686
2016,jan,489154,4.5,5.1,-1.278070538,-1.168047046,0.747944394,,0.925981599,-0.377568641,0.773504808,-0.633790432,0.993043664,-0.117746686
2016,feb,467652,3.8,5.1,-1.624320673,-1.332904593,0.747944394,,0.707668577,0.706544539,0.993019682,-0.117948763,0.993043664,-0.117746686
2016,mar,506565,5.3,5,-0.997698428,-0.979638422,0.612293913,,0.232646214,-0.972561432,0.232802639,-0.972524,0.982329349,0.18716049
2016,apr,506938,6.5,4.9,-0.99169195,-0.697025485,0.476643432,,0.212830259,-0.977089188,-0.673647081,-0.739053185,0.880176693,0.474646173
2016,may,520715,11.3,4.9,-0.769838722,0.433426262,0.476643432,,-0.51097651,-0.859594676,0.997045256,0.076816382,0.880176693,0.474646173
2016,jun,541831,13.9,4.9,-0.429804406,1.045754292,0.476643432,,-0.993249279,0.115999438,-0.446493074,-0.894787089,0.880176693,0.474646173
2016,jul,550654,15.3,5,-0.28772623,1.375469385,0.612293913,,-0.826981307,0.562229418,-0.999594317,0.02848161,0.982329349,0.18716049
2016,aug,556173,15.5,4.8,-0.198852893,1.422571541,0.340992952,,-0.623298555,0.781983958,-0.98184639,0.189677795,0.69609439,0.717950277
2016,sep,557167,14.6,4.8,-0.182846353,1.210611839,0.340992952,,-0.580045735,0.814583909,-0.857845242,-0.513908105,0.69609439,0.717950277
2016,oct,557548,9.8,4.8,-0.176711049,0.080160091,0.340992952,,-0.563008746,0.826450938,0.272788582,0.962074004,0.69609439,0.717950277
2016,nov,556066,4.9,4.7,-0.200575931,-1.073842734,0.205342471,,-0.627847736,0.778336188,0.530894319,-0.847438035,0.447217405,0.894425286
2016,dec,559089,5.9,4.7,-0.15189608,-0.838331953,0.205342471,,-0.491702244,0.870763403,-0.249425563,-0.968393974,0.447217405,0.894425286
2017,jan,562051,3.8,4.6,-0.104198522,-1.332904593,0.06969199,,-0.345363863,0.938468861,0.993019682,-0.117948763,0.156712,0.987644343
2017,feb,566501,5.2,4.6,-0.032539462,-1.0031895,0.06969199,,-0.109896951,0.993942986,0.310893306,-0.950444818,0.156712,0.987644343
2017,mar,573554,7.3,4.5,0.081036121,-0.50861686,-0.065958491,,0.270816147,0.96263109,-0.983434813,-0.181262157,-0.148380656,0.988930322
2017,apr,580607,8,4.4,0.194611705,-0.343759314,-0.201608971,,0.61201097,0.790849273,-0.926441205,0.376439495,-0.439661567,0.898163519
2017,may,583662,12.1,4.4,0.243806857,0.621834887,-0.201608971,,0.734606209,0.678493712,0.840548225,-0.541736728,-0.439661567,0.898163519
