date,year,month,GDP,Temperature,Unemployment Rate,Normalised GDP,Normalised Temperature,Normalised Unemployment Rate,Unnamed: 8,Normalised GDP_lag_1,Normalised Temperature_lag_1,Normalised Unemployment Rate_lag_1,Normalised GDP_lag_2,Normalised Temperature_lag_2,Normalised Unemployment Rate_lag_2,Normalised GDP_lag_3,Normalised Temperature_lag_3,Normalised Unemployment Rate_lag_3,Normalised GDP_lag_4,Normalised Temperature_lag_4,Normalised Unemployment Rate_lag_4,Normalised GDP_lag_5,Normalised Temperature_lag_5,Normalised Unemployment Rate_lag_5,Normalised GDP_lag_6,Normalised Temperature_lag_6,Normalised Unemployment Rate_lag_6,Normalised GDP_lag_7,Normalised Temperature_lag_7,Normalised Unemployment Rate_lag_7,Normalised GDP_lag_8,Normalised Temperature_lag_8,Normalised Unemployment Rate_lag_8,Normalised GDP_lag_9,Normalised Temperature_lag_9,Normalised Unemployment Rate_lag_9,Normalised GDP_lag_10,Normalised Temperature_lag_10,Normalised Unemployment Rate_lag_10,Normalised GDP_lag_11,Normalised Temperature_lag_11,Normalised Unemployment Rate_lag_11,Normalised GDP_lag_12,Normalised Temperature_lag_12,Normalised Unemployment Rate_lag_12
01/03/2014,2014,3,505572,6.7,6.6,-1.013688866,-0.649923329,2.782701604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2014,2014,4,509636,9.2,6.4,-0.948245626,-0.061146377,2.511400643,,-1.013688866,-0.649923329,2.782701604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/05/2014,2014,5,511939,11.2,6.3,-0.911160049,0.409875184,2.375750162,,-0.948245626,-0.061146377,2.511400643,-1.013688866,-0.649923329,2.782701604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2014,2014,6,513464,14.2,6.1,-0.886602731,1.116407526,2.104449201,,-0.911160049,0.409875184,2.375750162,-0.948245626,-0.061146377,2.511400643,-1.013688866,-0.649923329,2.782701604,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2014,2014,7,517253,16.3,6,-0.82558786,1.610980166,1.96879872,,-0.886602731,1.116407526,2.104449201,-0.911160049,0.409875184,2.375750162,-0.948245626,-0.061146377,2.511400643,-1.013688866,-0.649923329,2.782701604,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2014,2014,8,520279,13.9,6,-0.776859699,1.045754292,1.96879872,,-0.82558786,1.610980166,1.96879872,-0.886602731,1.116407526,2.104449201,-0.911160049,0.409875184,2.375750162,-0.948245626,-0.061146377,2.511400643,-1.013688866,-0.649923329,2.782701604,,,,,,,,,,,,,,,,,,,,,
01/09/2014,2014,9,523512,13.9,6,-0.724798185,1.045754292,1.96879872,,-0.776859699,1.045754292,1.96879872,-0.82558786,1.610980166,1.96879872,-0.886602731,1.116407526,2.104449201,-0.911160049,0.409875184,2.375750162,-0.948245626,-0.061146377,2.511400643,-1.013688866,-0.649923329,2.782701604,,,,,,,,,,,,,,,,,,
01/10/2014,2014,10,527683,11,5.9,-0.657631907,0.362773028,1.833148239,,-0.724798185,1.045754292,1.96879872,-0.776859699,1.045754292,1.96879872,-0.82558786,1.610980166,1.96879872,-0.886602731,1.116407526,2.104449201,-0.911160049,0.409875184,2.375750162,-0.948245626,-0.061146377,2.511400643,-1.013688866,-0.649923329,2.782701604,,,,,,,,,,,,,,,
01/11/2014,2014,11,528683,7.6,5.7,-0.641528747,-0.437963626,1.561847278,,-0.657631907,0.362773028,1.833148239,-0.724798185,1.045754292,1.96879872,-0.776859699,1.045754292,1.96879872,-0.82558786,1.610980166,1.96879872,-0.886602731,1.116407526,2.104449201,-0.911160049,0.409875184,2.375750162,-0.948245626,-0.061146377,2.511400643,-1.013688866,-0.649923329,2.782701604,,,,,,,,,,,,
01/12/2014,2014,12,539679,4.4,5.7,-0.464458406,-1.191598124,1.561847278,,-0.641528747,-0.437963626,1.561847278,-0.657631907,0.362773028,1.833148239,-0.724798185,1.045754292,1.96879872,-0.776859699,1.045754292,1.96879872,-0.82558786,1.610980166,1.96879872,-0.886602731,1.116407526,2.104449201,-0.911160049,0.409875184,2.375750162,-0.948245626,-0.061146377,2.511400643,-1.013688866,-0.649923329,2.782701604,,,,,,,,,
