,date,CPI,CPIH,Year,Month,CPI_Diff_2,CPIH_Diff_2
0,2013-01-01,97.1,97.0,2013,1,0.0,0.0
1,2013-02-01,97.8,97.5,2013,2,0.0,0.0
2,2013-03-01,98.1,97.8,2013,3,-0.4000000000000057,-0.20000000000000284
3,2013-04-01,98.3,98.0,2013,4,-0.09999999999999432,-0.09999999999999432
4,2013-05-01,98.5,98.2,2013,5,0.0,0.0
5,2013-06-01,98.3,98.0,2013,6,-0.4000000000000057,-0.4000000000000057
6,2013-07-01,98.3,98.0,2013,7,0.20000000000000284,0.20000000000000284
7,2013-08-01,98.7,98.4,2013,8,0.4000000000000057,0.4000000000000057
8,2013-09-01,99.1,98.7,2013,9,-1.4210854715202004e-14,-0.10000000000000853
9,2013-10-01,99.1,98.8,2013,10,-0.3999999999999915,-0.20000000000000284
10,2013-11-01,99.2,98.8,2013,11,0.10000000000000853,-0.09999999999999432
11,2013-12-01,99.6,99.2,2013,12,0.29999999999998295,0.4000000000000057
12,2014-01-01,99.0,98.7,2014,1,-0.9999999999999858,-0.9000000000000057
13,2014-02-01,99.5,99.1,2014,2,1.0999999999999943,0.8999999999999915
14,2014-03-01,99.7,99.3,2014,3,-0.29999999999999716,-0.19999999999998863
15,2014-04-01,100.1,99.6,2014,4,0.19999999999998863,0.09999999999999432
16,2014-05-01,100.0,99.6,2014,5,-0.4999999999999858,-0.29999999999999716
17,2014-06-01,100.2,99.8,2014,6,0.29999999999999716,0.20000000000000284
18,2014-07-01,99.9,99.6,2014,7,-0.5,-0.4000000000000057
19,2014-08-01,100.2,99.9,2014,8,0.5999999999999943,0.5000000000000142
20,2014-09-01,100.3,100.0,2014,9,-0.20000000000000284,-0.20000000000001705
21,2014-10-01,100.4,100.1,2014,10,1.4210854715202004e-14,0.0
22,2014-11-01,100.1,99.9,2014,11,-0.4000000000000199,-0.29999999999998295
23,2014-12-01,100.1,99.9,2014,12,0.30000000000001137,0.19999999999998863
24,2015-01-01,99.3,99.2,2015,1,-0.7999999999999972,-0.7000000000000028
25,2015-02-01,99.5,99.5,2015,2,1.0,1.0
26,2015-03-01,99.7,99.6,2015,3,0.0,-0.20000000000000284
27,2015-04-01,99.9,99.9,2015,4,0.0,0.20000000000001705
28,2015-05-01,100.1,100.1,2015,5,-1.4210854715202004e-14,-0.10000000000002274
29,2015-06-01,100.2,100.1,2015,6,-0.0999999999999801,-0.19999999999998863
30,2015-07-01,100.0,100.0,2015,7,-0.30000000000001137,-0.09999999999999432
31,2015-08-01,100.3,100.3,2015,8,0.5,0.3999999999999915
32,2015-09-01,100.2,100.2,2015,9,-0.3999999999999915,-0.3999999999999915
33,2015-10-01,100.3,100.3,2015,10,0.19999999999998863,0.19999999999998863
34,2015-11-01,100.3,100.3,2015,11,-0.09999999999999432,-0.09999999999999432
35,2015-12-01,100.3,100.4,2015,12,0.0,0.10000000000000853
36,2016-01-01,99.5,99.9,2016,1,-0.7999999999999972,-0.6000000000000085
37,2016-02-01,99.8,100.1,2016,2,1.0999999999999943,0.6999999999999886
38,2016-03-01,100.2,100.4,2016,3,0.10000000000000853,0.10000000000002274
39,2016-04-01,100.2,100.6,2016,4,-0.4000000000000057,-0.10000000000002274
40,2016-05-01,100.4,100.8,2016,5,0.20000000000000284,1.4210854715202004e-14
41,2016-06-01,100.6,101.0,2016,6,-1.4210854715202004e-14,0.0
42,2016-07-01,100.6,100.9,2016,7,-0.19999999999998863,-0.29999999999999716
43,2016-08-01,100.9,101.2,2016,8,0.30000000000001137,0.3999999999999915
44,2016-09-01,101.1,101.5,2016,9,-0.10000000000002274,0.0
45,2016-10-01,101.2,101.6,2016,10,-0.0999999999999801,-0.20000000000000284
46,2016-11-01,101.4,101.8,2016,11,0.09999999999999432,0.10000000000000853
47,2016-12-01,101.9,102.2,2016,12,0.29999999999999716,0.20000000000000284
48,2017-01-01,101.4,101.8,2017,1,-1.0,-0.8000000000000114
