,id,conversation_id,created_at,date,tweet,language,hashtags,user_id,username,name,link,urls,nlikes,nreplies,nretweets,search,new_tweet,neg,neu,pos,compound,time
0,848192197115695105,848192197115695105,1491059753000.0,2017-04-01,"Paul Mason: Labour can return to UK power by backing Scots independence. Sentient Human Being: How would that work? PM: Reasons, comrade.",en,[],13753642,alexmassie,alexmassie,https://twitter.com/alexmassie/status/848192197115695105,[],190,17,81,"UK (Labour OR Conservative OR Parliament OR Government OR ""Lib OR dems"" OR ""liberal OR democrats"")","Paul Mason: Labour can return to UK power by backing Scots independence. Sentient Human Being: How would that work? PM: Reasons, comrade.",0.0,0.95,0.05,0.0258,16:15:53
1,848047223548071937,848047223548071937,1491025188000.0,2017-04-01,"UK government announces a commemorative ""celebration of Britain and EU"" design for the Union Jack. It will be called European Union Jack.  https://t.co/a0PeaNpeFe",en,[],20675681,JamesMelville,James Melville,https://twitter.com/JamesMelville/status/848047223548071937,[],131,33,42,"UK (Labour OR Conservative OR Parliament OR Government OR ""Lib OR dems"" OR ""liberal OR democrats"")","UK government announces a commemorative ""celebration of Britain and EU"" design for the Union Jack. It will be called European Union Jack.  https://t.co/a0PeaNpeFe",0.0,1.0,0.0,0.0,06:39:48
2,849349460698247169,849349460698247169,1491335666000.0,2017-04-04,"Nicola Sturgeon: UK government is using EU residents as ""bargaining chips"" by not guaranteeing their future in UK. ""It is really shameful.""",en,[],17024780,BBCJamesCook,James Cook,https://twitter.com/BBCJamesCook/status/849349460698247169,[],238,42,142,"UK (Labour OR Conservative OR Parliament OR Government OR ""Lib OR dems"" OR ""liberal OR democrats"")","Nicola Sturgeon: UK government is using EU residents as ""bargaining chips"" by not guaranteeing their future in UK. ""It is really shameful.""",0.143,0.857,0.0,-0.5413,20:54:26
3,849330445414268929,849326273390424065,1491331132000.0,2017-04-04,@LabourEoin Well done @jeremycorbyn As a Labour support I am sick to death of the  TOTALLY and UTTERLY BIASED MEDIA in the UK. @itvnews,en,[],1538277925,DebraClaridge,Debra Claridge,https://twitter.com/DebraClaridge/status/849330445414268929,[],272,10,131,"UK (Labour OR Conservative OR Parliament OR Government OR ""Lib OR dems"" OR ""liberal OR democrats"")",@LabourEoin Well done @jeremycorbyn As a Labour support I am sick to death of the  TOTALLY and UTTERLY BIASED MEDIA in the UK. @itvnews,0.335,0.531,0.134,-0.8474,19:38:52
4,849187245395509248,849187245395509248,1491296991000.0,2017-04-04,I see Labour has sent out a press release calling Keir Starmer the shadow secretary for exiting the UK.  https://t.co/F0vNSegL08,en,[],19925839,JamieRoss7,Jamie Ross,https://twitter.com/JamieRoss7/status/849187245395509248,[],566,54,433,"UK (Labour OR Conservative OR Parliament OR Government OR ""Lib OR dems"" OR ""liberal OR democrats"")",I see Labour has sent out a press release calling Keir Starmer the shadow secretary for exiting the UK.  https://t.co/F0vNSegL08,0.0,1.0,0.0,0.0,10:09:51
5,850453622991323136,850453622991323136,1491598919000.0,2017-04-07,NHS Million exists to celebrate NHS staff because the media &amp; UK government don’t seem to want to - pls RT and follow if you want to help us  https://t.co/ugA9x8JXNX,en,[],4882743003,NHSMillion,NHS Million,https://twitter.com/NHSMillion/status/850453622991323136,[],178,0,258,"UK (Labour OR Conservative OR Parliament OR Government OR ""Lib OR dems"" OR ""liberal OR democrats"")",NHS Million exists to celebrate NHS staff because the media &amp; UK government don’t seem to want to - pls RT and follow if you want to help us  https://t.co/ugA9x8JXNX,0.0,0.708,0.292,0.8074,22:01:59
6,850373397666304000,850373397666304000,1491579791000.0,2017-04-07,"BREAKING: 20 Labour MPs have signed call for Syrian no-fly zone enforced by UK navy, with strikes against planes dropping illegal weapons.",en,[],93419198,PaulBrandITV,Paul Brand,https://twitter.com/PaulBrandITV/status/850373397666304000,[],141,79,150,"UK (Labour OR Conservative OR Parliament OR Government OR ""Lib OR dems"" OR ""liberal OR democrats"")","BREAKING: 20 Labour MPs have signed call for Syrian no-fly zone enforced by UK navy, with strikes against planes dropping illegal weapons.",0.321,0.679,0.0,-0.8402,16:43:11
7,850237961811640321,850237961811640321,1491547501000.0,2017-04-07,The UK government has released a statement saying it “fully supports” the US action in Syria  https://t.co/NFpBaeilo7  https://t.co/6QKo0sAOBv,en,[],759251,CNN,CNN,https://twitter.com/CNN/status/850237961811640321,['http://cnn.it/2oHbeOH'],398,53,273,"UK (Labour OR Conservative OR Parliament OR Government OR ""Lib OR dems"" OR ""liberal OR democrats"")",The UK government has released a statement saying it “fully supports” the US action in Syria  https://t.co/NFpBaeilo7  https://t.co/6QKo0sAOBv,0.0,1.0,0.0,0.0,07:45:01
8,850227891296100352,850227891296100352,1491545100000.0,2017-04-07,"The UK Government ""fully supports"" @POTUS' missile strikes on #Syria airbase in retaliation for this week's chemical weapons attack  https://t.co/eeZqMdM37n",en,['syria'],7587032,SkyNews,Sky News,https://twitter.com/SkyNews/status/850227891296100352,[],1833,60,1075,"UK (Labour OR Conservative OR Parliament OR Government OR ""Lib OR dems"" OR ""liberal OR democrats"")","The UK Government ""fully supports"" @POTUS' missile strikes on #Syria airbase in retaliation for this week's chemical weapons attack  https://t.co/eeZqMdM37n",0.311,0.586,0.102,-0.6915,07:05:00
9,850224256650592257,850224256650592257,1491544233000.0,2017-04-07,UK government 'fully supports' US air strike in Syria   https://t.co/PZUnH81uQD   More #SyriaStrikes updates:  https://t.co/diJRB9zbl8  https://t.co/0QYBZUkX4J,en,['syriastrikes'],612473,BBCNews,BBC News (UK),https://twitter.com/BBCNews/status/850224256650592257,"['http://bbc.in/2nR4QjZ', 'http://bbc.in/2o8quTe']",426,102,335,"UK (Labour OR Conservative OR Parliament OR Government OR ""Lib OR dems"" OR ""liberal OR democrats"")",UK government 'fully supports' US air strike in Syria   https://t.co/PZUnH81uQD   More #SyriaStrikes updates:  https://t.co/diJRB9zbl8  https://t.co/0QYBZUkX4J,0.087,0.752,0.162,0.3167,06:50:33
